,County,Start Pct,End Pct,Diff Pct
0,MS-28-28149,0.41160669947180717,0.48912288090976097,0.0775161814379538
1,WV-54-54087,0.0036635299188276706,0.00685833044683062,0.0031948005280029498
2,TX-48-48017,0.034156041642297345,0.01955617198335645,-0.014599869658940896
3,ID-16-16035,0.0005593362543115503,0.009063088512241054,0.008503752257929504
4,ME-23-23029,0.0012832635418073754,0.009612648221343873,0.008329384679536499
5,AL-1-1071,0.051891101772336926,0.04095843110322593,-0.010932670669110994
6,NE-31-31055,0.08862120271817736,0.12517088920561972,0.03654968648744236
7,KY-21-21209,0.09461037877523777,0.06259061426936284,-0.03201976450587493
8,WV-54-54095,0.0005079236082893133,0.004011142061281337,0.003503218452992024
9,IN-18-18115,0.014167650531286895,0.009093971034018189,-0.0050736794972687065
10,VT-50-50021,0.0012406226374861884,0.010161376724253381,0.008920754086767192
11,CO-8-8001,0.03727549069056758,0.04327783171224638,0.006002341021678806
12,GA-13-13243,0.5584192439862543,0.6137911858751564,0.05537194188890204
13,TX-48-48367,0.011318535940026459,0.01831929039526507,0.00700075445523861
14,MS-28-28101,0.2734125530021463,0.3107555065066446,0.03734295350449829
15,CO-8-8119,0.00016412276382734285,0.013256360915116528,0.013092238151289185
16,CA-6-6001,0.14813881597256173,0.12912957090491786,-0.01900924506764387
17,NE-31-31081,0.00022416498542927594,0.006964091403699674,0.006739926418270398
18,GA-13-13227,0.03549920760697306,0.019070243162097066,-0.016428964444875994
19,CO-8-8121,0.0003557452863749555,0.014185855263157895,0.01383010997678294
20,NC-37-37013,0.33360364643046897,0.2599315859058572,-0.07367206052461178
21,MS-28-28077,0.32465728047424974,0.3229282205672635,-0.0017290599069862411
22,MO-29-29083,0.009490046359421871,0.018815843952707367,0.009325797593285496
23,GA-13-13267,0.31138746647159227,0.3004082603353284,-0.010979206136263853
24,ND-38-38035,0.015996519585696835,0.04235997518190535,0.026363455596208518
25,NE-31-31051,0.00013374348000534973,0.009487666034155597,0.009353922554150247
26,SD-46-46071,0.0005813953488372093,0.01656127672387835,0.01597988137504114
27,FL-12-12129,0.25311410064773293,0.15376565720627874,-0.09934844344145419
28,UT-49-49003,0.0005735794945330705,0.008138664414457646,0.0075650849199245754
29,NE-31-31019,0.002871708828084667,0.016024394736303543,0.013152685908218876
30,WY-56-56013,0.0007109088970248462,0.008259952871139774,0.007549043974114928
31,GA-13-13311,0.047756116708098914,0.02764928140117942,-0.020106835306919493
32,MN-27-27089,7.692899453804139e-05,0.008489865223389579,0.008412936228851538
33,MS-28-28015,0.5127790359107085,0.3396465879136972,-0.17313244799701133
34,NC-37-37111,0.05302707136997539,0.0458334259485652,-0.00719364542141019
35,AL-1-1111,0.22155523736094285,0.20615967571378216,-0.015395561647160688
36,AR-5-5035,0.47664665734725764,0.5264996017400895,0.04985294439283183
37,VA-51-51131,0.5270043374842591,0.36182640888523243,-0.1651779285990267
38,LA-22-22039,0.27303305996924654,0.29137895267166525,0.01834589270241871
39,MO-29-29199,0.00017667844522968197,0.004738360115368768,0.004561681670139086
40,PA-42-42079,0.005312919450713159,0.056784602872045446,0.051471683421332286
41,GA-13-13157,0.12893509521958804,0.07878787878787878,-0.05014721643170926
42,FL-12-12121,0.2430583233692042,0.14072212065813527,-0.10233620271106891
43,TN-47-47041,0.020354622760991495,0.025388384944218537,0.005033762183227042
44,IN-18-18139,0.008795934323690384,0.014155470249520154,0.005359535925829771
45,WY-56-56015,0.0008347245409015025,0.01270268250765897,0.011867957966757468
46,GA-13-13165,0.4477468839884947,0.43831640058055155,-0.009430483407943169
47,SC-45-45069,0.4342376052385407,0.5192769331490507,0.08503932791050994
48,ID-16-16025,0.0024154589371980675,0.013133208255159476,0.010717749317961408
49,KS-20-20037,0.011010501500214317,0.031134456995690646,0.02012395549547633
50,GA-13-13281,0.00018258170531312764,0.014666428188159542,0.014483846482846414
51,TX-48-48337,0.0003333777837044939,0.012459765341086075,0.01212638755738158
52,MO-29-29033,0.01982414068745004,0.02791370106761566,0.00808956038016562
53,GA-13-13121,0.3829980270928322,0.4522186664450078,0.0692206393521756
54,IA-19-19135,0.002471789360558839,0.012291483757682178,0.009819694397123338
55,KS-20-20119,0.00019912385503783353,0.015473441108545035,0.015274317253507202
56,MT-30-30065,0.00022841480127912289,0.011567001309471846,0.011338586508192723
57,SD-46-46067,0.000380517503805175,0.012190110943706341,0.011809593439901166
58,WV-54-54001,0.01006243114212266,0.016044061302681992,0.005981630160559333
59,FL-12-12087,0.08208940700231594,0.06980976226736532,-0.01227964473495062
60,WV-54-54069,0.03127085518161884,0.04383968792086565,0.012568832739246812
61,GA-13-13143,0.07642861734267532,0.05888265058570735,-0.01754596675696797
62,SC-45-45001,0.30917804936496524,0.289146478421306,-0.02003157094365926
63,VA-51-51730,0.47203565758944926,0.7876959078732642,0.3156602502838149
64,OH-39-39109,0.019987560106217554,0.03122121584280012,0.011233655736582568
65,MO-29-29065,9.002520705797624e-05,0.010004489193869044,0.009914463986811069
66,TX-48-48473,0.537892923783551,0.26794228872081555,-0.2699506350627355
67,GA-13-13019,0.13720991793876292,0.11638453831144861,-0.020825379627314303
68,MO-29-29099,0.007980938728861166,0.014924773785939927,0.006943835057078761
69,GA-13-13249,0.45573870573870573,0.21710526315789475,-0.23863344258081098
70,TX-48-48237,0.01054481546572935,0.04584365848164001,0.03529884301591066
71,LA-22-22125,0.6835611237661352,0.4603834904127397,-0.22317763335339552
72,MO-29-29221,0.007317891910036925,0.02856220751976763,0.021244315609730707
